userid,usergroup_title,course_id,title,alias,catid
36651,Core K-5 Year 1,42785,Culture in the Classroom ,copy-core-k-5-year-1-module-3,88
36651,Core K-5 Year 1,42869,Globalizing Your Classroom ,copy-core-k-5-year-1-module-2,88
36651,Core K-5 Year 1,43669,Becoming a Global Educator,copy-core-k-5-year-1-module-1-training,88
36652,Core 6-12 Year 1,42769,Globalizing Your Classroom ,copy-core-6-12-year-1-module-2,91
36652,Core 6-12 Year 1,42797,Teaching Conceptually ,copy-core-6-12-year-1-module-3,91
36652,Core 6-12 Year 1,42801,Social Entrepreneurship ,copy-core-6-12-year-1-module-4,91
36652,Core 6-12 Year 1,43817,Becoming a Global Educator,copy-core-6-12-year-1-module-1-training,91
36654,Core 6-12 Year 1,42769,Globalizing Your Classroom ,copy-core-6-12-year-1-module-2,91
36654,Core 6-12 Year 1,42797,Teaching Conceptually ,copy-core-6-12-year-1-module-3,91
36654,Core 6-12 Year 1,42801,Social Entrepreneurship ,copy-core-6-12-year-1-module-4,91
36654,Core 6-12 Year 1,43817,Becoming a Global Educator,copy-core-6-12-year-1-module-1-training,91
36656,Core K-5 Year 1,42741,Beyond Your Classroom ,copy-core-k-5-year-1-module-4,88
36656,Core K-5 Year 1,42785,Culture in the Classroom ,copy-core-k-5-year-1-module-3,88
36656,Core K-5 Year 1,42869,Globalizing Your Classroom ,copy-core-k-5-year-1-module-2,88
36656,Core K-5 Year 1,43669,Becoming a Global Educator,copy-core-k-5-year-1-module-1-training,88
36658,Core 6-12 Year 1,42769,Globalizing Your Classroom ,copy-core-6-12-year-1-module-2,91
36658,Core 6-12 Year 1,42797,Teaching Conceptually ,copy-core-6-12-year-1-module-3,91
36658,Core 6-12 Year 1,42801,Social Entrepreneurship ,copy-core-6-12-year-1-module-4,91
36658,Core 6-12 Year 1,43817,Becoming a Global Educator,copy-core-6-12-year-1-module-1-training,91
36659,Core K-5 Year 1,42741,Beyond Your Classroom ,copy-core-k-5-year-1-module-4,88
36659,Core K-5 Year 1,42785,Culture in the Classroom ,copy-core-k-5-year-1-module-3,88
36659,Core K-5 Year 1,42869,Globalizing Your Classroom ,copy-core-k-5-year-1-module-2,88
36659,Core K-5 Year 1,43669,Becoming a Global Educator,copy-core-k-5-year-1-module-1-training,88
36660,Core 6-12 Year 1,42769,Globalizing Your Classroom ,copy-core-6-12-year-1-module-2,91
36660,Core 6-12 Year 1,42797,Teaching Conceptually ,copy-core-6-12-year-1-module-3,91
36660,Core 6-12 Year 1,42801,Social Entrepreneurship ,copy-core-6-12-year-1-module-4,91
36660,Core 6-12 Year 1,43817,Becoming a Global Educator,copy-core-6-12-year-1-module-1-training,91
36661,Core 6-12 Year 1,42769,Globalizing Your Classroom ,copy-core-6-12-year-1-module-2,91
36661,Core 6-12 Year 1,42797,Teaching Conceptually ,copy-core-6-12-year-1-module-3,91
36661,Core 6-12 Year 1,42801,Social Entrepreneurship ,copy-core-6-12-year-1-module-4,91
36661,Core 6-12 Year 1,43817,Becoming a Global Educator,copy-core-6-12-year-1-module-1-training,91
36662,Core 6-12 Year 1,42769,Globalizing Your Classroom ,copy-core-6-12-year-1-module-2,91
36662,Core 6-12 Year 1,42797,Teaching Conceptually ,copy-core-6-12-year-1-module-3,91
36662,Core 6-12 Year 1,42801,Social Entrepreneurship ,copy-core-6-12-year-1-module-4,91
36662,Core 6-12 Year 1,43817,Becoming a Global Educator,copy-core-6-12-year-1-module-1-training,91
36663,Core K-5 Year 1,42741,Beyond Your Classroom ,copy-core-k-5-year-1-module-4,88
36663,Core K-5 Year 1,42785,Culture in the Classroom ,copy-core-k-5-year-1-module-3,88
36663,Core K-5 Year 1,42869,Globalizing Your Classroom ,copy-core-k-5-year-1-module-2,88
36663,Core K-5 Year 1,43669,Becoming a Global Educator,copy-core-k-5-year-1-module-1-training,88
36665,Core 6-12 Year 1,42769,Globalizing Your Classroom ,copy-core-6-12-year-1-module-2,91
36665,Core 6-12 Year 1,42797,Teaching Conceptually ,copy-core-6-12-year-1-module-3,91
36665,Core 6-12 Year 1,42801,Social Entrepreneurship ,copy-core-6-12-year-1-module-4,91
36665,Core 6-12 Year 1,43817,Becoming a Global Educator,copy-core-6-12-year-1-module-1-training,91
36671,Core 6-12 Year 1,42769,Globalizing Your Classroom ,copy-core-6-12-year-1-module-2,91
36671,Core 6-12 Year 1,42797,Teaching Conceptually ,copy-core-6-12-year-1-module-3,91
36671,Core 6-12 Year 1,42801,Social Entrepreneurship ,copy-core-6-12-year-1-module-4,91
36671,Core 6-12 Year 1,43817,Becoming a Global Educator,copy-core-6-12-year-1-module-1-training,91
36672,Core 6-12 Year 1,42769,Globalizing Your Classroom ,copy-core-6-12-year-1-module-2,91
36672,Core 6-12 Year 1,42797,Teaching Conceptually ,copy-core-6-12-year-1-module-3,91
36672,Core 6-12 Year 1,42801,Social Entrepreneurship ,copy-core-6-12-year-1-module-4,91
36672,Core 6-12 Year 1,43817,Becoming a Global Educator,copy-core-6-12-year-1-module-1-training,91
36673,Core 6-12 Year 1,42769,Globalizing Your Classroom ,copy-core-6-12-year-1-module-2,91
36673,Core 6-12 Year 1,42797,Teaching Conceptually ,copy-core-6-12-year-1-module-3,91
36673,Core 6-12 Year 1,42801,Social Entrepreneurship ,copy-core-6-12-year-1-module-4,91
36673,Core 6-12 Year 1,43817,Becoming a Global Educator,copy-core-6-12-year-1-module-1-training,91
36674,Core K-5 Year 1,42741,Beyond Your Classroom ,copy-core-k-5-year-1-module-4,88
36674,Core K-5 Year 1,42785,Culture in the Classroom ,copy-core-k-5-year-1-module-3,88
36674,Core K-5 Year 1,42869,Globalizing Your Classroom ,copy-core-k-5-year-1-module-2,88
36674,Core K-5 Year 1,43669,Becoming a Global Educator,copy-core-k-5-year-1-module-1-training,88
36675,Core 6-12 Year 1,42769,Globalizing Your Classroom ,copy-core-6-12-year-1-module-2,91
36675,Core 6-12 Year 1,42797,Teaching Conceptually ,copy-core-6-12-year-1-module-3,91
36675,Core 6-12 Year 1,42801,Social Entrepreneurship ,copy-core-6-12-year-1-module-4,91
36675,Core 6-12 Year 1,43817,Becoming a Global Educator,copy-core-6-12-year-1-module-1-training,91
36676,Core K-5 Year 1,42741,Beyond Your Classroom ,copy-core-k-5-year-1-module-4,88
36676,Core K-5 Year 1,42785,Culture in the Classroom ,copy-core-k-5-year-1-module-3,88
36676,Core K-5 Year 1,42869,Globalizing Your Classroom ,copy-core-k-5-year-1-module-2,88
36676,Core K-5 Year 1,43669,Becoming a Global Educator,copy-core-k-5-year-1-module-1-training,88
36677,Core K-5 Year 1,42741,Beyond Your Classroom ,copy-core-k-5-year-1-module-4,88
36677,Core K-5 Year 1,42785,Culture in the Classroom ,copy-core-k-5-year-1-module-3,88
36677,Core K-5 Year 1,42869,Globalizing Your Classroom ,copy-core-k-5-year-1-module-2,88
36677,Core K-5 Year 1,43669,Becoming a Global Educator,copy-core-k-5-year-1-module-1-training,88
36679,Core 6-12 Year 1,42769,Globalizing Your Classroom ,copy-core-6-12-year-1-module-2,91
36679,Core 6-12 Year 1,42797,Teaching Conceptually ,copy-core-6-12-year-1-module-3,91
36679,Core 6-12 Year 1,42801,Social Entrepreneurship ,copy-core-6-12-year-1-module-4,91
36679,Core 6-12 Year 1,43817,Becoming a Global Educator,copy-core-6-12-year-1-module-1-training,91
36680,Core K-5 Year 1,42741,Beyond Your Classroom ,copy-core-k-5-year-1-module-4,88
36680,Core K-5 Year 1,42785,Culture in the Classroom ,copy-core-k-5-year-1-module-3,88
36680,Core K-5 Year 1,42869,Globalizing Your Classroom ,copy-core-k-5-year-1-module-2,88
36680,Core K-5 Year 1,43669,Becoming a Global Educator,copy-core-k-5-year-1-module-1-training,88
36685,Core K-5 Year 1,42741,Beyond Your Classroom ,copy-core-k-5-year-1-module-4,88
36685,Core K-5 Year 1,42785,Culture in the Classroom ,copy-core-k-5-year-1-module-3,88
36685,Core K-5 Year 1,42869,Globalizing Your Classroom ,copy-core-k-5-year-1-module-2,88
36685,Core K-5 Year 1,43669,Becoming a Global Educator,copy-core-k-5-year-1-module-1-training,88
36687,Core K-5 Year 1,42741,Beyond Your Classroom ,copy-core-k-5-year-1-module-4,88
36687,Core K-5 Year 1,42785,Culture in the Classroom ,copy-core-k-5-year-1-module-3,88
36687,Core K-5 Year 1,42869,Globalizing Your Classroom ,copy-core-k-5-year-1-module-2,88
36687,Core K-5 Year 1,43669,Becoming a Global Educator,copy-core-k-5-year-1-module-1-training,88
36688,Core K-5 Year 1,42741,Beyond Your Classroom ,copy-core-k-5-year-1-module-4,88
36688,Core K-5 Year 1,42785,Culture in the Classroom ,copy-core-k-5-year-1-module-3,88
36688,Core K-5 Year 1,42869,Globalizing Your Classroom ,copy-core-k-5-year-1-module-2,88
36688,Core K-5 Year 1,43669,Becoming a Global Educator,copy-core-k-5-year-1-module-1-training,88
36694,Core K-5 Year 1,42741,Beyond Your Classroom ,copy-core-k-5-year-1-module-4,88
36694,Core K-5 Year 1,42785,Culture in the Classroom ,copy-core-k-5-year-1-module-3,88
36694,Core K-5 Year 1,42869,Globalizing Your Classroom ,copy-core-k-5-year-1-module-2,88
36694,Core K-5 Year 1,43669,Becoming a Global Educator,copy-core-k-5-year-1-module-1-training,88
36696,Core K-5 Year 1,42741,Beyond Your Classroom ,copy-core-k-5-year-1-module-4,88
36696,Core K-5 Year 1,42785,Culture in the Classroom ,copy-core-k-5-year-1-module-3,88
36696,Core K-5 Year 1,42869,Globalizing Your Classroom ,copy-core-k-5-year-1-module-2,88
36696,Core K-5 Year 1,43669,Becoming a Global Educator,copy-core-k-5-year-1-module-1-training,88
36712,Core K-5 Year 1,42741,Beyond Your Classroom ,copy-core-k-5-year-1-module-4,88
36712,Core K-5 Year 1,42785,Culture in the Classroom ,copy-core-k-5-year-1-module-3,88
36712,Core K-5 Year 1,42869,Globalizing Your Classroom ,copy-core-k-5-year-1-module-2,88
36712,Core K-5 Year 1,43669,Becoming a Global Educator,copy-core-k-5-year-1-module-1-training,88
36717,Core K-5 Year 1,42741,Beyond Your Classroom ,copy-core-k-5-year-1-module-4,88
36717,Core K-5 Year 1,42785,Culture in the Classroom ,copy-core-k-5-year-1-module-3,88
36717,Core K-5 Year 1,42869,Globalizing Your Classroom ,copy-core-k-5-year-1-module-2,88
36717,Core K-5 Year 1,43669,Becoming a Global Educator,copy-core-k-5-year-1-module-1-training,88
36730,Core K-5 Year 1,42741,Beyond Your Classroom ,copy-core-k-5-year-1-module-4,88
36730,Core K-5 Year 1,42785,Culture in the Classroom ,copy-core-k-5-year-1-module-3,88
36730,Core K-5 Year 1,42869,Globalizing Your Classroom ,copy-core-k-5-year-1-module-2,88
36730,Core K-5 Year 1,43669,Becoming a Global Educator,copy-core-k-5-year-1-module-1-training,88
36747,Core K-5 Year 1,42741,Beyond Your Classroom ,copy-core-k-5-year-1-module-4,88
36747,Core K-5 Year 1,42785,Culture in the Classroom ,copy-core-k-5-year-1-module-3,88
36747,Core K-5 Year 1,42869,Globalizing Your Classroom ,copy-core-k-5-year-1-module-2,88
36747,Core K-5 Year 1,43669,Becoming a Global Educator,copy-core-k-5-year-1-module-1-training,88
36889,Core K-5 Year 1,42741,Beyond Your Classroom ,copy-core-k-5-year-1-module-4,88
36889,Core K-5 Year 1,42785,Culture in the Classroom ,copy-core-k-5-year-1-module-3,88
36889,Core K-5 Year 1,42869,Globalizing Your Classroom ,copy-core-k-5-year-1-module-2,88
36889,Core K-5 Year 1,43669,Becoming a Global Educator,copy-core-k-5-year-1-module-1-training,88
36924,Core K-5 Year 1,42741,Beyond Your Classroom ,copy-core-k-5-year-1-module-4,88
36924,Core K-5 Year 1,42785,Culture in the Classroom ,copy-core-k-5-year-1-module-3,88
36924,Core K-5 Year 1,42869,Globalizing Your Classroom ,copy-core-k-5-year-1-module-2,88
36924,Core K-5 Year 1,43669,Becoming a Global Educator,copy-core-k-5-year-1-module-1-training,88
36925,Core K-5 Year 1,42741,Beyond Your Classroom ,copy-core-k-5-year-1-module-4,88
36925,Core K-5 Year 1,42785,Culture in the Classroom ,copy-core-k-5-year-1-module-3,88
36925,Core K-5 Year 1,42869,Globalizing Your Classroom ,copy-core-k-5-year-1-module-2,88
36925,Core K-5 Year 1,43669,Becoming a Global Educator,copy-core-k-5-year-1-module-1-training,88
36926,Core K-5 Year 1,42741,Beyond Your Classroom ,copy-core-k-5-year-1-module-4,88
36926,Core K-5 Year 1,42785,Culture in the Classroom ,copy-core-k-5-year-1-module-3,88
36926,Core K-5 Year 1,42869,Globalizing Your Classroom ,copy-core-k-5-year-1-module-2,88
36926,Core K-5 Year 1,43669,Becoming a Global Educator,copy-core-k-5-year-1-module-1-training,88
36927,Core K-5 Year 1,42741,Beyond Your Classroom ,copy-core-k-5-year-1-module-4,88
36927,Core K-5 Year 1,42785,Culture in the Classroom ,copy-core-k-5-year-1-module-3,88
36927,Core K-5 Year 1,42869,Globalizing Your Classroom ,copy-core-k-5-year-1-module-2,88
36927,Core K-5 Year 1,43669,Becoming a Global Educator,copy-core-k-5-year-1-module-1-training,88
36928,Core K-5 Year 1,42741,Beyond Your Classroom ,copy-core-k-5-year-1-module-4,88
36928,Core K-5 Year 1,42785,Culture in the Classroom ,copy-core-k-5-year-1-module-3,88
36928,Core K-5 Year 1,42869,Globalizing Your Classroom ,copy-core-k-5-year-1-module-2,88
36928,Core K-5 Year 1,43669,Becoming a Global Educator,copy-core-k-5-year-1-module-1-training,88
36929,Core K-5 Year 1,42741,Beyond Your Classroom ,copy-core-k-5-year-1-module-4,88
36929,Core K-5 Year 1,42785,Culture in the Classroom ,copy-core-k-5-year-1-module-3,88
36929,Core K-5 Year 1,42869,Globalizing Your Classroom ,copy-core-k-5-year-1-module-2,88
36929,Core K-5 Year 1,43669,Becoming a Global Educator,copy-core-k-5-year-1-module-1-training,88
37196,Core K-5 Year 1,42741,Beyond Your Classroom ,copy-core-k-5-year-1-module-4,88
37196,Core K-5 Year 1,42785,Culture in the Classroom ,copy-core-k-5-year-1-module-3,88
37196,Core K-5 Year 1,42869,Globalizing Your Classroom ,copy-core-k-5-year-1-module-2,88
37196,Core K-5 Year 1,43669,Becoming a Global Educator,copy-core-k-5-year-1-module-1-training,88
37197,Core K-5 Year 1,42741,Beyond Your Classroom ,copy-core-k-5-year-1-module-4,88
37197,Core K-5 Year 1,42785,Culture in the Classroom ,copy-core-k-5-year-1-module-3,88
37197,Core K-5 Year 1,42869,Globalizing Your Classroom ,copy-core-k-5-year-1-module-2,88
37197,Core K-5 Year 1,43669,Becoming a Global Educator,copy-core-k-5-year-1-module-1-training,88
37898,Core K-5 Year 1,42741,Beyond Your Classroom ,copy-core-k-5-year-1-module-4,88
37898,Core K-5 Year 1,42785,Culture in the Classroom ,copy-core-k-5-year-1-module-3,88
37898,Core K-5 Year 1,42869,Globalizing Your Classroom ,copy-core-k-5-year-1-module-2,88
37898,Core K-5 Year 1,43669,Becoming a Global Educator,copy-core-k-5-year-1-module-1-training,88
38225,FLEX,43717,Becoming a Global Educator,copy-flex-module-1-training,779
38225,FLEX,43721,Globalizing Your Classroom ,copy-flex-module-2,779
38225,FLEX,43725,Globalizing Your Lessons ,copy-flex-module-4,779
38225,FLEX,43729,Culture in the Classroom ,copy-flex-module-3,779
38225,World Languages Year 1,42933,Engaging the Beginning Learner Through Global Inquiry ,copy-wl-year-1-module-2,641
38225,World Languages Year 1,43021,Comprehensible Input ,copy-wl-year-1-module-3,641
38225,World Languages Year 1,43025,Authentic Assessment in the World Language Classroom ,copy-wl-year-1-module-4,641
38225,World Languages Year 1,43797,Becoming a Global Educator,copy-wl-year-1-module-1-training,641
38228,DL 6-8 Year 1,42849,Social Entrepreneurship ,copy-dl-6-8-year-1-module-4,191
38228,DL 6-8 Year 1,42857,Globalizing Your Classroom ,copy-dl-6-8-year-1-module-2,191
38228,DL 6-8 Year 1,42865,Teaching Conceptually ,copy-dl-6-8-year-1-module-3,191
38228,DL 6-8 Year 1,43781,Becoming a Global Educator,copy-dl-6-8-year-1-module-1-training,191
38557,Core 6-12 Year 1,42769,Globalizing Your Classroom ,copy-core-6-12-year-1-module-2,91
38557,Core 6-12 Year 1,42797,Teaching Conceptually ,copy-core-6-12-year-1-module-3,91
38557,Core 6-12 Year 1,42801,Social Entrepreneurship ,copy-core-6-12-year-1-module-4,91
38557,Core 6-12 Year 1,43817,Becoming a Global Educator,copy-core-6-12-year-1-module-1-training,91
41575,Core K-5 Year 1,42741,Beyond Your Classroom ,copy-core-k-5-year-1-module-4,88
41575,Core K-5 Year 1,42785,Culture in the Classroom ,copy-core-k-5-year-1-module-3,88
41575,Core K-5 Year 1,42869,Globalizing Your Classroom ,copy-core-k-5-year-1-module-2,88
41575,Core K-5 Year 1,43669,Becoming a Global Educator,copy-core-k-5-year-1-module-1-training,88
41579,Core K-5 Year 1,42741,Beyond Your Classroom ,copy-core-k-5-year-1-module-4,88
41579,Core K-5 Year 1,42785,Culture in the Classroom ,copy-core-k-5-year-1-module-3,88
41579,Core K-5 Year 1,42869,Globalizing Your Classroom ,copy-core-k-5-year-1-module-2,88
41579,Core K-5 Year 1,43669,Becoming a Global Educator,copy-core-k-5-year-1-module-1-training,88
41583,Core K-5 Year 1,42741,Beyond Your Classroom ,copy-core-k-5-year-1-module-4,88
41583,Core K-5 Year 1,42785,Culture in the Classroom ,copy-core-k-5-year-1-module-3,88
41583,Core K-5 Year 1,42869,Globalizing Your Classroom ,copy-core-k-5-year-1-module-2,88
41583,Core K-5 Year 1,43669,Becoming a Global Educator,copy-core-k-5-year-1-module-1-training,88
41587,Core K-5 Year 1,42741,Beyond Your Classroom ,copy-core-k-5-year-1-module-4,88
41587,Core K-5 Year 1,42785,Culture in the Classroom ,copy-core-k-5-year-1-module-3,88
41587,Core K-5 Year 1,42869,Globalizing Your Classroom ,copy-core-k-5-year-1-module-2,88
41587,Core K-5 Year 1,43669,Becoming a Global Educator,copy-core-k-5-year-1-module-1-training,88
41591,Core K-5 Year 1,42741,Beyond Your Classroom ,copy-core-k-5-year-1-module-4,88
41591,Core K-5 Year 1,42785,Culture in the Classroom ,copy-core-k-5-year-1-module-3,88
41591,Core K-5 Year 1,42869,Globalizing Your Classroom ,copy-core-k-5-year-1-module-2,88
41591,Core K-5 Year 1,43669,Becoming a Global Educator,copy-core-k-5-year-1-module-1-training,88
41595,Core K-5 Year 1,42741,Beyond Your Classroom ,copy-core-k-5-year-1-module-4,88
41595,Core K-5 Year 1,42785,Culture in the Classroom ,copy-core-k-5-year-1-module-3,88
41595,Core K-5 Year 1,42869,Globalizing Your Classroom ,copy-core-k-5-year-1-module-2,88
41595,Core K-5 Year 1,43669,Becoming a Global Educator,copy-core-k-5-year-1-module-1-training,88
41611,Core K-5 Year 1,42741,Beyond Your Classroom ,copy-core-k-5-year-1-module-4,88
41611,Core K-5 Year 1,42785,Culture in the Classroom ,copy-core-k-5-year-1-module-3,88
41611,Core K-5 Year 1,42869,Globalizing Your Classroom ,copy-core-k-5-year-1-module-2,88
41611,Core K-5 Year 1,43669,Becoming a Global Educator,copy-core-k-5-year-1-module-1-training,88
41615,Core K-5 Year 1,42741,Beyond Your Classroom ,copy-core-k-5-year-1-module-4,88
41615,Core K-5 Year 1,42785,Culture in the Classroom ,copy-core-k-5-year-1-module-3,88
41615,Core K-5 Year 1,42869,Globalizing Your Classroom ,copy-core-k-5-year-1-module-2,88
41615,Core K-5 Year 1,43669,Becoming a Global Educator,copy-core-k-5-year-1-module-1-training,88
41619,Core K-5 Year 1,42741,Beyond Your Classroom ,copy-core-k-5-year-1-module-4,88
41619,Core K-5 Year 1,42785,Culture in the Classroom ,copy-core-k-5-year-1-module-3,88
41619,Core K-5 Year 1,42869,Globalizing Your Classroom ,copy-core-k-5-year-1-module-2,88
41619,Core K-5 Year 1,43669,Becoming a Global Educator,copy-core-k-5-year-1-module-1-training,88
41623,Core 6-12 Year 1,42769,Globalizing Your Classroom ,copy-core-6-12-year-1-module-2,91
41623,Core 6-12 Year 1,42797,Teaching Conceptually ,copy-core-6-12-year-1-module-3,91
41623,Core 6-12 Year 1,42801,Social Entrepreneurship ,copy-core-6-12-year-1-module-4,91
41623,Core 6-12 Year 1,43817,Becoming a Global Educator,copy-core-6-12-year-1-module-1-training,91
41627,Core 6-12 Year 1,42769,Globalizing Your Classroom ,copy-core-6-12-year-1-module-2,91
41627,Core 6-12 Year 1,42797,Teaching Conceptually ,copy-core-6-12-year-1-module-3,91
41627,Core 6-12 Year 1,42801,Social Entrepreneurship ,copy-core-6-12-year-1-module-4,91
41627,Core 6-12 Year 1,43817,Becoming a Global Educator,copy-core-6-12-year-1-module-1-training,91
41631,Core 6-12 Year 1,42769,Globalizing Your Classroom ,copy-core-6-12-year-1-module-2,91
41631,Core 6-12 Year 1,42797,Teaching Conceptually ,copy-core-6-12-year-1-module-3,91
41631,Core 6-12 Year 1,42801,Social Entrepreneurship ,copy-core-6-12-year-1-module-4,91
41631,Core 6-12 Year 1,43817,Becoming a Global Educator,copy-core-6-12-year-1-module-1-training,91
41727,DL K-5 Year 1,42777,Globalizing Your Classroom: Integrating Language and Culture ,copy-dl-k-5-year-1-module-2,188
41727,DL K-5 Year 1,42837,Differentiation: Celebrating a Diverse Classroom Environment ,copy-dl-k-5-year-1-module-3,188
41727,DL K-5 Year 1,42845,Comprehensible Input: Meaningful Language ,copy-dl-k-5-year-1-module-4,188
41727,DL K-5 Year 1,43773,Becoming a Global Educator,copy-dl-k-5-year-1-module-1-training,188
42475,Core K-5 Year 1,42741,Beyond Your Classroom ,copy-core-k-5-year-1-module-4,88
42475,Core K-5 Year 1,42785,Culture in the Classroom ,copy-core-k-5-year-1-module-3,88
42475,Core K-5 Year 1,42869,Globalizing Your Classroom ,copy-core-k-5-year-1-module-2,88
42475,Core K-5 Year 1,43669,Becoming a Global Educator,copy-core-k-5-year-1-module-1-training,88
